position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
128,0,0,0,0,0,0,-0.031656,0.029572,-0.28414,0.286794,-1.144593,1.149738,-0.828023,0.82627,-0.47784,0.468792,-0.206237,0.211573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,-0.01743,0.016329,-0.249787,0.251915,-1.109563,1.114426,-0.89464,0.892296,-0.537491,0.529132,-0.23429,0.23951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,-0.007591,0.007099,-0.221332,0.223192,-1.079562,1.084226,-0.943967,0.940069,-0.585612,0.579277,-0.258389,0.263016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,-0.192787,0.194409,-1.050336,1.055023,-0.985715,0.979141,-0.631273,0.628454,-0.283151,0.286515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,-0.163452,0.1651,-1.022407,1.027357,-1.018111,1.008091,-0.67304,0.676219,-0.308075,0.310127,-0.020324,0.015343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,-0.128983,0.129896,-0.991405,0.997418,-1.046104,1.031354,-0.7194,0.731362,-0.338862,0.338568,-0.051946,0.039246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,-0.101132,0.101824,-0.967356,0.974162,-1.061633,1.042469,-0.75551,0.775498,-0.365095,0.362729,-0.082388,0.06273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,-0.075211,0.075579,-0.944301,0.95208,-1.071227,1.047568,-0.790012,0.817682,-0.392023,0.387766,-0.114966,0.088448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,-0.051126,0.051855,-0.922006,0.930243,-1.075641,1.04791,-0.823742,0.858816,-0.419514,0.413272,-0.148176,0.115191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,-0.027423,0.027563,-0.894331,0.903975,-1.075501,1.04324,-0.86374,0.90558,-0.453753,0.445983,-0.186707,0.14788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,-0.011408,0.011464,-0.87008,0.88014,-1.071282,1.037088,-0.897492,0.942304,-0.483112,0.474763,-0.21593,0.174126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,-0.843843,0.854108,-1.064297,1.029423,-0.931771,0.976871,-0.51306,0.505041,-0.240836,0.198519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,-0.820607,0.830702,-1.056495,1.0223,-0.959401,1.002421,-0.537301,0.530288,-0.256757,0.216075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,-0.796573,0.806308,-1.047336,1.014674,-0.987312,1.026314,-0.562139,0.556625,-0.269861,0.232336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,-0.778328,0.78765,-1.039197,1.008328,-1.007857,1.04303,-0.581267,0.577062,-0.278447,0.243991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,-0.754258,0.763019,-1.026625,0.998525,-1.034278,1.063385,-0.607429,0.60513,-0.288865,0.259285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,-0.731283,0.739231,-1.011706,0.986948,-1.058934,1.081467,-0.634616,0.634103,-0.299124,0.27467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,-0.709962,0.717132,-0.994196,0.973059,-1.081094,1.097074,-0.662847,0.663835,-0.310032,0.290732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,-0.695487,0.702099,-0.979366,0.960859,-1.095715,1.107006,-0.684797,0.686695,-0.319229,0.303617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,-0.679126,0.684713,-0.95685,0.9422,-1.112008,1.117862,-0.715201,0.717808,-0.333668,0.322195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,-0.666153,0.670666,-0.931485,0.920416,-1.124335,1.126119,-0.746913,0.749625,-0.351044,0.342815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,-0.654675,0.658218,-0.904645,0.896708,-1.133391,1.132097,-0.779565,0.782045,-0.370804,0.365073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,-0.645824,0.648388,-0.884065,0.878481,-1.13857,1.135973,-0.804412,0.806346,-0.386851,0.38232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
