position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
128,0,0,0,0,0,0,-0.692671,-0.662241,-1.132445,-1.131706,-0.338654,-0.338119,-1.588877,-1.599501,-0.870589,-0.858083,-0.522686,-0.520399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,-0.386353,-0.369067,-1.272297,-1.269083,-0.361286,-0.36118,-1.38768,-1.393489,-0.998065,-0.991686,-0.675094,-0.674241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,-0.169155,-0.161554,-1.337351,-1.332403,-0.417537,-0.417663,-1.180022,-1.183194,-1.123771,-1.121321,-0.786542,-0.786218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,-1.341969,-1.335833,-0.511018,-0.511383,-0.937384,-0.939014,-1.270561,-1.270958,-0.875893,-0.876298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,-1.256514,-1.250006,-0.62283,-0.62327,-0.670741,-0.672854,-1.449616,-1.451177,-0.946332,-0.946688,0.043726,0.046397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,-1.091062,-1.084807,-0.807116,-0.807329,-0.331192,-0.33598,-1.677599,-1.678814,-1.002089,-1.001918,0.105881,0.112521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,-0.915513,-0.909855,-0.985869,-0.985434,-0.051354,-0.059595,-1.862428,-1.86178,-1.031955,-1.030828,0.155703,0.165672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,-0.719091,-0.714483,-1.173041,-1.171935,0.207635,0.196042,-2.026533,-2.024181,-1.051644,-1.049572,0.194842,0.208447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,-0.516742,-0.513269,-1.35489,-1.353562,0.430985,0.416124,-2.154986,-2.150349,-1.066879,-1.063755,0.215356,0.23183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,-0.286502,-0.284562,-1.547911,-1.545971,0.630532,0.611381,-2.241023,-2.233708,-1.0869,-1.082382,0.203608,0.222674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
