position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
128,0,0,0,0,0,0,0.403999,0.41377,3.352289,3.347466,-3.420161,-3.425065,-1.004298,-1.025048,2.029288,2.052861,3.322863,3.316181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0.204737,0.210274,3.518802,3.515058,-3.142791,-3.147545,-1.802871,-1.818461,2.100407,2.125354,3.572549,3.566313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0.087076,0.089627,3.573888,3.571022,-2.795673,-2.800015,-2.582607,-2.591673,2.196763,2.222569,3.686544,3.680547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,3.49434,3.492224,-2.333497,-2.337929,-3.44057,-3.441599,2.367376,2.391979,3.719065,3.713164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,3.248294,3.246886,-1.760661,-1.76516,-4.345147,-4.336361,2.645778,2.667793,3.685185,3.679387,-0.166264,-0.173869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,2.769337,2.768497,-0.982113,-0.987239,-5.433625,-5.411999,3.079209,3.09646,3.587646,3.581828,-0.381497,-0.400427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,2.307521,2.306991,-0.257132,-0.262677,-6.331293,-6.298783,3.40277,3.415389,3.435959,3.430074,-0.570385,-0.599523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,1.802213,1.80196,0.479947,0.474479,-7.147498,-7.104619,3.666374,3.674258,3.258932,3.252884,-0.729245,-0.768324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,1.290922,1.290774,1.195247,1.189967,-7.835332,-7.783507,3.818833,3.822164,3.073604,3.067418,-0.833181,-0.880943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0.694999,0.69499,1.940793,1.936597,-8.408419,-8.348838,3.822823,3.821548,2.898717,2.892044,-0.828897,-0.884292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
